연번,행정동명,도로명주소,지번주소,장소명,모델명,설치일자,좌표정보(X),좌표정보(Y),관리기관명,담당부서명,관리기관전화번호,데이터기준일자
12,금호읍,영천시 금호읍 창산길 89,영천시 금호읍 상호리 727-2,마을회관,ACT-A42,2021,35.909019,128879223,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
13,금호읍,영천시 금호읍 대구대길 106,영천시 금호읍 신대리 308-5,마을회관,ACT-A42,2021,35.921456,128.869815,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
14,청통면,영천시청통면 청통로634-1,영천시 청통면 신학리 545-1,마을회관,HS-PA2200,2019,35.995345,128.825528,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
15,청통면,영천시 청통면 새학길 61,영천시 청통면 신학리 124-2,마을회관,ACT-A42,2021,35.991954,128.82874,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
16,청통면,영천시 청통면 방아지길1,영천시 청통면 호당2리 599,마을회관,HS-PA2200,2020,35.996346,128.895269,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
17,청통면,영천시 청통면 거조길328,영천시 청통면 신원리 796-58,경로당,ACT-A42,2021,35.017765,128.777167,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
18,청통면,영천시 청통면 애련길244,영천시 청통면 애련리 52,경로당,ACT-A42,2021,36.033405,128.797512,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
19,청통면,영천시 청통면 구정길 123-1,영천시 청통면 죽정리 36,경로당,ACT-A42,2021,35.976731,128.832668,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
20,청통면,영천시 청통면 월성길 7-9,영천시 청통면 송천리 171,마을회관,SGA-5K30,2017,35.97541,128.822348,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
21,청통면,영천시 청통면 계포리16,영천시 청통면 계포리16,마을회관,SGA-5K30,2017,36.006145,128.812613,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
22,청통면,영천시 영천시 청통로 244,영천시 청통면 우천리 720,마을회관,ACT-A42,2021,35.988102,128.866432,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
23,청통면,영천시 청통면 청통로 167-5,영천시 청통면 우천리 338,마을회관,ACT-A42,2021,35.989739,128.874001,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
24,청통면,영천시 청통면 봉수길 1,영천시 청통면 보성리 683-1,마을회관,ACT-A42,2021,35.994065,128.841,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
25,청통면,영천시 청통면 성골길 111-29,영천시 청통면 신덕리 729-2,마을회관,ACT-A42,2021,35.972469,128.854763,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
26,청통면,영천시 청통면 창마길 16,영천시 청통면 원촌리 516-125,마을회관,ACT-A42,2021,35.984608,128.825742,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
27,청통면,영천시 영천시 청통면 치일길 4,영천시 청통면 치일리 590-1,마을회관,ACT-A42,2021,35.991045,128.798503,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
28,신녕면,영천시 신녕면 신암길 39,영천시 신녕면 치산리 1416,마을회관,ACT-A42,2021,35.045378,128.711825,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
29,신녕면,영천시 신녕면 치산안길52,영천시 신녕면 치산2리 1049 ,마을회관,HS-PA2200,2019,36.056814,128.714152,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
30,신녕면,영천시 신녕면 권응수길 49,영천시 신녕면 남리 584-3,마을회관,ACT-A42,2021,36.078587,128.76062,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
31,신녕면,영천시 신녕면 원낙길 96-4,영천시 신녕면 화남리 1206,마을회관,ACT-A42,2021,36.071801,128.753368,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
32,신녕면,영천시 신녕면 화해길 132-22,영천시 신녕면 화남리 964,마을회관,HS-PA2200,2019,36.058541,128.773233,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
33,신녕면,영천시 신녕면 장수로 1653-1,영천시 신녕면 완전리 853-4,마을회관,ACT-A42,2021,36.039403,128.788226,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
34,신녕면,영천시 신녕면 장수로1637,영천시신녕면 완전리 853-58,마을회관,HS-PA2200,2019,36.038022,128.788563,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
35,신녕면,영천시 신녕면 찰방길24,영천시 신녕면 매양리 286-18,노인정,HS-PA2200,2020,36.041776,128.781515,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
36,신녕면,영천시 신녕면 매양안길 28-6,영천시 신녕면 매양리 309,마을회관,ACT-A42,2021,36.040508,128.780626,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
37,신녕면,영천시 신녕면 신정길 177, 영천시 신녕면 연정리 546-3,마을회관,ACT-A42,2021,36.044801,128.807176,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
38,신녕면,영천시 신녕면 큰골길101,영천시 신녕면 가천리 183-1,마을회관,SGA-5K30,2017,36.054417,128.791426,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
39,신녕면,영천시 신녕면 화정길 25-2,영천시 신녕면 화서리 731-4,마을회관,ACT-A42,2021,36.090841,128.790003,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
40,신녕면,영천시 신녕면 신정길 27-4,영천시 신녕면 신정길 27-4,마을회관,ACT-A42,2021,36.032092,128.807291,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
41,화산면,영천시 화산면 석촌2길60,영천시 화산면 석촌리 47-10,마을회관,HS-PA2200,2019,36.010002,128.87211,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
42,화산면,영천시 화산면 용평리193-18,영천시 화산면 용평리193-18,마을회관,HS-PA2200,2019,36.017318,128.848254,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
43,화산면,영천시 화산면 가상길 23-2,영천시 화산면 가상리 656,노인회관,HS-PA2200,2020,36.033503,128.888963,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
44,화산면,영천시 화산면 율전길32-4,영천시 화산면 연계리 270,경로당,ACT-A42,2021,36.010721,128.845697,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
45,화산면,영천시 화산면 가래실로162,영천시 화산면 암기리 544-1,경로당,ACT-A42,2021,36.014892,128.887136,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
46,화산면,영천시 화산면 덕암길 12-5,영천시 화산면 덕암리 548-84,마을회관,ACT-A42,2021,36.025415,128.82893,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
47,화산면,영천시 화산면 덕암2길6,영천시 화산면 덕암리 239,마을회관,SGA-5K30,2017,36.036131,128.83383,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
48,화산면,영천시 화산면 효지길 98-14,영천시 화산면 화산리 239-2,마을회관,SGA-5K30,2017,36.046289,128.86849,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
49,화산면,영천시 화산면 섭재골길 24,영천시 화산면 당지리 109,마을회관,ACT-A42,2021,36.057193,128.839763,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
50,화산면,영천시 화산면 산성길 10,영천시 화산면 당지리 517-2,마을회관,ACT-A42,2021,36.072873,128.836863,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
51,화산면,영천시 화산면 옛서당길 74,영천시 화산면 효정리 494-4,마을회관,ACT-A42,2021,36.049974,128.833188,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
52,화산면,영천시 화산면 효자문안길 11-6,영천시 화산면 효정리 450-2,마을회관,ACT-A42,2021,36.04994,128.831484,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
53,화산면,영천시 화산면 장수로 577-25, 영천시 화산면 삼부리 157,마을회관,ACT-A42,2021,36.002292,128.883347,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
54,화산면,영천시 화산면 부계길 115-4,영천시 화산면 부계리 206,마을회관,ACT-A42,2021,36.008377,128.861541,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
55,화산면,영천시 화산면 신정길 12,영천시 화산면 신정길 12,마을회관,HS-PA2200,2021,36.030776,128.808403,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
56,화북면,영천시 화북면 공덕길 33-1,영천시 화북면 공덕리 703,마을회관,ACT-A42,2019,36.091223,128.945661,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
57,화북면,영천시 화북면 오공길 203,영천시 화북면 오산리 855,마을회관,ACT-A42,2021,36.080317,128.925509,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
58,화북면,영천시 화북면 오공길 354,영천시 화북면 오산리 212-1,마을회관,HS-PA2200,2019,36.088129,128.937234,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
59,화북면,영천시 화북면 직당숲길 23, 영천시 화북면 죽전리 354-1,마을회관,ACT-A42,2021,36.14618,128.911129,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
60,화북면,영천시 화북면 송림길 48-11,영천시 화북면 정각리 335,노인정,HS-PA2200,2020,36.129865,128.993762,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
61,화북면,영천시 화북면 자천1길20,영천시 화북면 자천1길20,마을회관,HS-PA2200,2017,36.107543,128.917115,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
62,화북면,영천시 화북면 정각길 16, 영천시 화북면 정각리 639-2,마을회관,ACT-A42,2017,36.13842,128.994747,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
63,화북면,영천시 화북면 금계길 4,영천시 화북면 금계길 4,마을회관,ACT-A42,2021,36.118544,128.935341,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
64,화북면,영천시 화북면 상송안길 32,영천시 화북면 상송리 108,마을회관,SGA-5K30,2021,36.152406,128.917153,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
65,화북면,영천시 화북면 별빛로 135,영천시 화북면 횡계리 176,마을회관,ACT-A42,2021,36.114228,128.949251,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
66,화남면,영천시 화남면 용구길42,영천시 화남면 구전리 121-3,마을회관,ACT-A42,2019,36.102377,128.86539,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
67,화남면,영천시 화남면 금호1길 58, 영천시 화남면 금호리 151-6,마을회관,HS-PA2200,2021,36.070001,128.90677,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
68,화남면,영천시 화남면 내지길 47,영천시 화남면 금호리 580,마을회관,HS-PA2200,2019,36.077596,128.912101,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
69,화남면,영천시 화남면 귀호1길 131,영천시 화남면 귀호리 681-2,마을회관,HS-PA2200,2021,36.063628,128.869837,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
70,화남면,영천시 화남면 귀호2길 71-3,영천시 화남면 귀호리 141,귀호2길 71-10,ACT-A42,2020,36.048518,128.878637,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
71,화남면,영천시 화남면 용구길 498,영천시 화남면 용계리 255,경로당,ACT-A42,2021,36.128843,128.881154,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
72,화남면,영천시 화남면 천문로 1212,영천시 화남면 사천리 517-4,마을회관,ACT-A42,2021,36.037932,128.918678,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
73,화남면,영천시 화남면 사천1길 68,영천시 화남면 사천리 681,마을회관,SGA-5K30,2021,36.048206,128.921856,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
74,화남면,영천시 화남면 신선로 301,영천시 화남면 죽곡리 657-1,경로당,SGA-5K30,2021,36.047624,128.948608,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
75,화남면,영천시 화남면 죽곡2길 137,영천시 화남면 죽곡리 209,마을회관,ACT-A42,2021,36.063914,128.958678,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
76,화남면,영천시 화남면 온천길 46,영천시 화남면 온천리 112,마을회관,SGA-5K30,2017,36.088888,128.860596,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
77,화남면,영천시 화남면 구전로 166,영천시 화남면 안천리 565-7,마을회관,ACT-A42,2021,36.083825,128.895555,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
78,화남면,영천시 화남면 능계2길 14,영천시 화남면 안천리 863-1,마을회관,SGA-5K30,2017,36.082672,128.894892,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
79,화남면,영천시 화남면 구전로 460,영천시 화남면 안천리 1623,마을회관,ACT-A42,2021,36.089938,128.866942,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
80,화남면,영천시 화남면 신흥길 9,영천시 화남면 신호리 693,마을회관,ACT-A42,2021,36.034202,128.933291,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
81,화남면,영천시 화남면 대내실길 22,영천시 화남면 신호리 179,마을회관,ACT-A42,2021,36.047738,128.943567,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
82,화남면,영천시 화남면 유천길 39-2,영천시 화남면 선천리 1446-29,마을회관,ACT-A42,2021,36.051079,128.889952,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
83,자양면,영천시 자양면 도일길 31,영천시 자양면 도일리 348-2,경로당,ACT-A42,2021,36.110261,129.082979,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
84,자양면,영천시 자양면 별빛로 1175,영천시 자양면 보현리 688,마을회관,ACT-A42,2021,36.132875,129.046037,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
85,자양면,영천시 자양면 별빛로 1124,영천시 자양면 보현리 793-3,복지관,HS-PA2200,2020,36.134559,129.040664,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
86,자양면,영천시 자양면 상신길 69,영천시 자양면 신방리  526-1,경로당,SGA-4010,2012,36.068915,129.081559,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
87,자양면,영천시 자양면 용화길 122,영천시 자양면 용화리 296,마을회관,SGA-5K30,2017,36.087883,129.001163,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
88,자양면,영천시 자양면 원각길 55,영천시 자양면 용산리 289,마을회관,SGA-5K30,2017,36.090214,129.035773,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
89,자양면,영천시자양면 별빛로 1538-2,영천시 자양면 충효리 610,마을회관,ACT-A42,2021,36.108227,129.06704,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
90,임고면,영천시 임고면 운주로 1157,영천시 임고면 사리 435-6,마을회관,HS-PA2200,2019,36.046767,129.078564,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
91,임고면,영천시 임고면 삼매용천길 4,영천시 밈고면 삼매리 71-18,마을회관,HS-PA2200,2019,36.057361,129.011272,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
92,임고면,영천시 임고면 금대1길 7-1,영천시 임고면 금대리 686,새터노인정,HS-PA2200,2020,36.04498,129.027362,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
93,임고면,영천시 임고면 삼매매곡길 104,영천시 임고면 삼매리 796,마을회관,ACT-A42,2021,36.060047,128.996362,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
94,임고면,영천시 임고면 삼매매곡길 368,영천시 임고면 삼매리 1083-1,경로당,HS-PA2200,2020,36.073839,128.975152,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
95,임고면,영천시 임고면 은주로1741,영천시 임고면 수성리 32-7,경로당,ACT-A42,2021,36.053633,129.131508,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
96,임고면,영천시 임고면 황강길3,영천시 임고면 황강리 290,마을회관,SGA-5K10,2016,36.025716,128.993291,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
97,임고면,영천시 임고면 양항3길 8,영천시 임고면 양항리 276-8,마을회관,SGA-5K30,2017,36.009815,128.973824,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
98,임고면,영천시 임고면 운주로 355-1,영천시 임고면 효리 863-5,마을회관,SGA-5K30,2017,36.0326,129.007594,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
99,임고면,영천시 임고면 신선로 688,영천시 임고면 선원리 909-122,마을회관,ACT-A42,2021,36.046485,128.978483,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
100,임고면,영천시 임고면 환구길 10,영천시 임고면 선원리 909-106,마을회관,ACT-A42,2021,36.029125,128.974349,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
101,임고면,영천시 임고면 덕연길 74,영천시 임고면 덕연리 989-88,마을회관,ACT-A42,2021,36.051966,128.987711,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
102,고경면,영천시 고경면 호국로 361-11,영천시 고경면 단포리 99,마을회관,HS-PA2200,2019,35.980442,128.976244,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
103,고경면,영천시 고경면 동도길 53,영천시 고경면 동도리 357-3,마을회관,HS-PA2200,2019,35.999591,129.061847,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
104,고경면,영천시 고경면 상계로 279,영천시 고경면 삼포리 740-4,마을회관,HS-PA2200,2019,36.014696,129.103754,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
105,고경면,영천시 고경면 가징계길 14-9,영천시 고경면 가수리 195-5,마을회관,HS-PA2200,2019,36.002367,129.080258,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
106,고경면,영천시 고경면 거곡로 591,영천시 고경면 오류리 374-4,경로당,HS-PA2200,2020,35.959754,129.026622,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
107,고경면,영천시 고경면 추곡길 491,영천시 고경면 부리리 540,마을회관,HS-PA2200,2020,35.972968,129.046365,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
108,고경면,영천시 고경면 차당실2길 20,영천시 고경면 삼귀리 51,마을회관,ACT-A42,2021,35.965037,129.067388,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
109,고경면,영천시 고경면 백소길66,영천시 고경면 전사리 301,마을회관,SGA-5K30,2017,35.995263,129.044846,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
110,고경면,영천시 고경면 동사길 2,영천시 고경면 오룡리 877-1,마을회관,SGA-5K30,2017,36.015222,129.130865,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
111,고경면,영천시 고경면 거곡로 137-2,영천시 고경면 대의리 511,마을회관,ACT-A42,2021,35.970287,128.982971,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
112,고경면,영천시 고경면 고도길 74,영천시 고경면 용전리 377,마을회관,ACT-A42,2021,35.983889,129.004528,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
113,고경면,영천시 고경면 고도길 286-4,영천시 고경면 고도리 290,마을회관,ACT-A42,2021,35.974346,129.02397,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
114,고경면,영천시 고경면 생계길 6-9,영천시 고경면 석계리 162,마을회관,ACT-A42,2021,36.002456,129.094094,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
115,고경면,영천시 고경면 모시밭길 66-1,영천시 고경면 삼산리 275,마을회관,ACT-A42,2021,35.998087,129.096577,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
116,고경면,영천시 고경면 칠전길 114,영천시 고경면 칠전리 84-1,마을회관,ACT-A42,2021,35.949778,129.093576,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
117,고경면,영천시 고경면 논실길 172, 영천시 고경면 논실리 131,마을회관,ACT-A42,2021,35.938796,129.120855,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
118,북안면,영천시 북안면 운북로 1194,영천시 북안면 상리 350-1,마을회관,HS-PA2200,2019,35.851253,128.991704,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
119,북안면,영천시 북안면 새불길3,영천시 북안면 명주리 573-36,마을회관,HS-PA2200,2019,35.874689,128.996731,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
120,북안면,영천시 북안면 운북로1671,영천시 신리리 320-1,마을회관,HS-PA2200,2019,35.887938,129.011482,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
121,북안면,영천시 북안면 돌할매로455-11,영천시 북안면 관리리 231,마을회관,HS-PA2200,2020,35.939776,129.04034,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
122,북안면,영천시 북안면 돈암길 309,영천시 북안면 신촌리 269,마을회관,SGA-4010,2012,35.922129,129.045965,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
123,북안면,영천시 북안면 도유길 116,영천시 북안면 도유리 282,마을회관,SGA-5K30,2017,35.875082,128.983639,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
124,북안면,영천시 북안면 반정1길 34,영천시 북안면 반정리 583-1,마을회관,SGA-5K30,2017,35.93387,128.993753,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
125,북안면,영천시 북안면 반정2길 62,영천시 북안면 반정리 1243-6,마을회관,ACT-A42,2021,35.928235,128.990867,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
126,북안면,영천시 북안면 돌할매로 41-26,영천시 북안면 반정리 56-5,마을회관,ACT-A42,2021,35.930922,129.002667,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
127,북안면,영천시 북안면 당리길 56,영천시 북안면 당리 210-2,마을회관,SGA-5K20D,2017,35.860705,128996364,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
128,북안면,영천시 북안면 중이길 12,영천시 북안면 당리 715-1,마을회관,ACT-A42,2021,35.859444,128.991726,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
129,북안면,영천시 북안면 금창로 1697,영천시 북안면 북리 324,마을회관,ACT-A42,2021,35.862531,128.985951,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
130,북안면,영천시 북안면 북안서당길 85-4,영천시 북안면 서당리 166,마을회관,ACT-A42,2021,35.902189,129.002312,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
131,북안면,영천시 북안면 송학길 10-2,영천시 북안면 자포리 374-1,마을회관,ACT-A42,2021,35.929149,129.021812,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
132,북안면,영천시 북안면 대원당길 88,영천시 북안면 원당리 200,마을회관,ACT-A42,2021,35.937217,129.012552,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
133,북안면,영천시 북안면 유상길 249-21,영천시 북안면 유상리 805,마을회관,ACT-A42,2021,35.91783,128.975331,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
134,대창면,영천시 대창면 강회2길 24,영천시 대창면 강회 197,마을회관,HS-PA2200,2019,35.892114,128.886815,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
135,대창면,영천시 대창면 조곡안길90,영천시 대창면 조곡리 782,노인정,HS-PA2200,2020,35.858768,128.907183,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
136,대창면,영천시 대창면 용대로 804-1,영천시 대창면 구지리 561-2,마을회관,ACT-A42,2021,35.855137,128.890554,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
137,대창면,영천시 대창면 채산길182,영천시 대창면 오길리 82,마을회관,ACT-A42,2021,35.87677,128.839378,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
138,대창면,영천시 대창면 하이브리드로 101,영천시 대창면 직천리 367-1,마을회관,SGA-5K30,2017,35.874711,128.967513,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
139,대창면,영천시 대창면 영지길 325-11,영천시 대창면 용호리 548,마을회관,SGA-5K30,2017,35.84909,128.937263,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
140,대창면,영천시 대창면 한들길 53,영천시 대창면 용전리 138-1,마을회관,ACT-A42,2021,35.870679,128.950095,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
141,대창면,영천시 대창면 운잠길 23,영천시 대창면 운천리 861-1,마을회관,ACT-A42,2021,35.863219,128947226,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
142,대창면,영천시 대창면 영지길 109-1,영천시 대창면 신광리 709-5,마을회관,ACT-A42,2021,35.85688,128.920956,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
143,대창면,영천시 대창면 양지촌길 18,영천시 대창면 대재리 644,마을회관,ACT-A42,2021,35.877263,128.902284,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
144,동부동, 영천시 장천1길40,영천시 조교동 883-171,마을회관,HS-PA2200,2019,35.968497,128.960269,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
145,중앙동,영천시 매산뒷길21-7,영천시 매산동 136-1,마을회관,HS-PA2200,2019,36.023438,128.92325,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
146,중앙동,영천시 직동길 117-14,영천시 도림동 1169-1,마을회관,HS-PA2200,2020,36.008631,128.931137,경상북도 영천시청,안전재난하천과,054-330-6332,2024-11-20
